doc_id,topic,text
1,admissions,"Вопрос: Как поступить в Университет искусственного интеллекта?
Ответ: Чтобы поступить
Upsell:  заполните онлайн-заявку на сайте УИИ"
2,admissions,"Вопрос: Нужен ли опыт программирования?
Ответ: Базовый опыт желателен
Upsell:  но не обязателен. На первом модуле мы закрываем основы Python"
3,curriculum,"Вопрос: Из каких блоков состоит программа?
Ответ: Основные блоки: Python для DS/ML
Upsell:  промпт-инжиниринг"
4,schedule,"Вопрос: Как устроено обучение по времени?
Ответ: Формат гибридный: записанные уроки + еженедельные лайв-сессии
Upsell:  дедлайны по спринтам и код-ревью. Средняя нагрузка — 6–8 часов в неделю."
5,pricing,"Вопрос: Сколько стоит обучение?
Ответ: Есть базовый
Upsell:  стандартный и продвинутый пакеты. Итоговая стоимость зависит от набора сервисов (менторство"
6,finance,"Вопрос: Есть ли рассрочка или возврат?
Ответ: Рассрочка есть
Upsell:  возврат возможен в течение 14 дней при условии выполнения стартовых заданий."
7,stack,"Вопрос: Какие технологии изучаются?
Ответ: OpenAI API
Upsell:  инструменты для RAG (BM25/TF-IDF/эмбеддинги)"
8,projects,"Вопрос: Какие будут проекты?
Ответ: Чат-бот-консультант с RAG
Upsell:  агенты-помощники на LangGraph"
9,career,"Вопрос: Помогаете ли с трудоустройством?
Ответ: Да
Upsell:  есть карьерный трек: резюме"
10,certificate,"Вопрос: Выдаёте сертификат?
Ответ: Да
Upsell:  электронный сертификат по итогам защиты проекта. Для отличившихся — рекомендация от наставников."
11,ft,"Вопрос: Для чего нужен fine-tuning?
Ответ: Fine-tuning помогает закрепить голос/тон
Upsell:  формат ответов и узкие знания"
12,rag,"Вопрос: Чем полезен RAG?
Ответ: RAG позволяет отвечать по самым свежим документам и источникам
Upsell:  не меняя саму модель — удобно для часто обновляемых баз."
13,usecase,"Вопрос: Как выбрать между RAG и fine-tuning?
Ответ: Если знания часто обновляются — RAG. Если нужен фиксированный стиль и шаблоны ответов — fine-tuning. Часто комбинируют.
Upsell: На курсе мы сравниваем подходы на реальных задачах и метриках."
14,mentor,"Вопрос: Какая польза от наставника?
Ответ: Наставник экономит часы на отладке
Upsell:  даёт реальную обратную связь и помогает довести проект до продакшна."
15,sales,"Вопрос: Есть ли платные интенсивы?
Ответ: Да: «AI-Старт PRO»
Upsell:  «RAG за выходные»"
16,tools,"Вопрос: Какие модели поддерживаете?
Ответ: Мы работаем с моделями OpenAI (GPT-4o-mini и др.) и эмбеддингами
Upsell:  а также совместимы с большинством векторных БД."
17,exam,"Вопрос: Как проходит итоговая защита?
Ответ: Вы презентуете проект
Upsell:  показываете метрики"
18,community,"Вопрос: Есть ли сообщество?
Ответ: Да
Upsell:  Discord/Telegram-чат"
19,qa_style,"Вопрос: Какой стиль ответов вы ожидаете?
Ответ: Дружелюбный
Upsell:  структурированный"
20,policy,"Вопрос: Есть ли правила академической честности?
Ответ: Да
Upsell:  запрещены плагиат и недобросовестные практики. Мы учим строить реальные навыки и портфолио."
